File,aid,Date,0,8,16,32,40,48,65,73,81,97,105,113,157
ET_QC_500m_2000049_aid0001,aid0001,2000-02-18 00:00:00+00:00,,,,,,,,,,,1.0,,
ET_QC_500m_2000057_aid0001,aid0001,2000-02-26 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2000065_aid0001,aid0001,2000-03-05 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2000073_aid0001,aid0001,2000-03-13 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2000081_aid0001,aid0001,2000-03-21 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2000089_aid0001,aid0001,2000-03-29 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2000097_aid0001,aid0001,2000-04-06 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2000105_aid0001,aid0001,2000-04-14 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2000113_aid0001,aid0001,2000-04-22 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2000121_aid0001,aid0001,2000-04-30 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2000129_aid0001,aid0001,2000-05-08 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2000137_aid0001,aid0001,2000-05-16 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2000145_aid0001,aid0001,2000-05-24 00:00:00+00:00,,,,1.0,,,,,,,,,
ET_QC_500m_2000153_aid0001,aid0001,2000-06-01 00:00:00+00:00,,,,1.0,,,,,,,,,
ET_QC_500m_2000161_aid0001,aid0001,2000-06-09 00:00:00+00:00,,,,,,,,,,1.0,,,
ET_QC_500m_2000169_aid0001,aid0001,2000-06-17 00:00:00+00:00,,,,,,,,,,,,1.0,
ET_QC_500m_2000177_aid0001,aid0001,2000-06-25 00:00:00+00:00,,,,,,,,,,1.0,,,
ET_QC_500m_2000185_aid0001,aid0001,2000-07-03 00:00:00+00:00,,,,1.0,,,,,,,,,
ET_QC_500m_2000193_aid0001,aid0001,2000-07-11 00:00:00+00:00,,,,,,,,,,1.0,,,
ET_QC_500m_2000201_aid0001,aid0001,2000-07-19 00:00:00+00:00,,,,,,1.0,,,,,,,
ET_QC_500m_2000209_aid0001,aid0001,2000-07-27 00:00:00+00:00,,,,,,,,,,,1.0,,
ET_QC_500m_2000217_aid0001,aid0001,2000-08-04 00:00:00+00:00,,,,1.0,,,,,,,,,
ET_QC_500m_2000225_aid0001,aid0001,2000-08-12 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2000233_aid0001,aid0001,2000-08-20 00:00:00+00:00,,,,1.0,,,,,,,,,
ET_QC_500m_2000241_aid0001,aid0001,2000-08-28 00:00:00+00:00,,,,,,,,,,1.0,,,
ET_QC_500m_2000249_aid0001,aid0001,2000-09-05 00:00:00+00:00,,,,1.0,,,,,,,,,
ET_QC_500m_2000257_aid0001,aid0001,2000-09-13 00:00:00+00:00,,,,1.0,,,,,,,,,
ET_QC_500m_2000265_aid0001,aid0001,2000-09-21 00:00:00+00:00,,,,1.0,,,,,,,,,
ET_QC_500m_2000273_aid0001,aid0001,2000-09-29 00:00:00+00:00,,,,1.0,,,,,,,,,
ET_QC_500m_2000281_aid0001,aid0001,2000-10-07 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2000289_aid0001,aid0001,2000-10-15 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2000297_aid0001,aid0001,2000-10-23 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2000305_aid0001,aid0001,2000-10-31 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2000313_aid0001,aid0001,2000-11-08 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2000321_aid0001,aid0001,2000-11-16 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2000329_aid0001,aid0001,2000-11-24 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2000337_aid0001,aid0001,2000-12-02 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2000345_aid0001,aid0001,2000-12-10 00:00:00+00:00,1.0,,,,,,,,,,,,
ET_QC_500m_2000353_aid0001,aid0001,2000-12-18 00:00:00+00:00,1.0,,,,,,,,,,,,
