File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD16A2GF_061_PET_500m_doy2000001000000_aid0001,PET_500m,aid0001,01/01/2000,1,5.4,5.4,"(5.4,5.4)",5.4,0,0,5.4,5.4,5.4,5.4,5.4
MOD16A2GF_061_PET_500m_doy2000009000000_aid0001,PET_500m,aid0001,01/09/2000,1,5.8,5.8,"(5.8,5.8)",5.8,0,0,5.8,5.8,5.8,5.8,5.8
MOD16A2GF_061_PET_500m_doy2000017000000_aid0001,PET_500m,aid0001,01/17/2000,1,4.9,4.9,"(4.9,4.9)",4.9,0,0,4.9,4.9,4.9,4.9,4.9
MOD16A2GF_061_PET_500m_doy2000025000000_aid0001,PET_500m,aid0001,01/25/2000,1,4.9,4.9,"(4.9,4.9)",4.9,0,0,4.9,4.9,4.9,4.9,4.9
MOD16A2GF_061_PET_500m_doy2000033000000_aid0001,PET_500m,aid0001,02/02/2000,1,6.3,6.3,"(6.3,6.3)",6.3,0,0,6.3,6.3,6.3,6.3,6.3
MOD16A2GF_061_PET_500m_doy2000041000000_aid0001,PET_500m,aid0001,02/10/2000,1,8.3,8.3,"(8.3,8.3)",8.3,0,0,8.3,8.3,8.3,8.3,8.3
MOD16A2GF_061_PET_500m_doy2000049000000_aid0001,PET_500m,aid0001,02/18/2000,1,9.3,9.3,"(9.3,9.3)",9.3,0,0,9.3,9.3,9.3,9.3,9.3
MOD16A2GF_061_PET_500m_doy2000057000000_aid0001,PET_500m,aid0001,02/26/2000,1,13.8,13.8,"(13.8,13.8)",13.8,0,0,13.8,13.8,13.8,13.8,13.8
MOD16A2GF_061_PET_500m_doy2000065000000_aid0001,PET_500m,aid0001,03/05/2000,1,17.8,17.8,"(17.8,17.8)",17.8,0,0,17.8,17.8,17.8,17.8,17.8
MOD16A2GF_061_PET_500m_doy2000073000000_aid0001,PET_500m,aid0001,03/13/2000,1,16.7,16.7,"(16.7,16.7)",16.7,0,0,16.7,16.7,16.7,16.7,16.7
MOD16A2GF_061_PET_500m_doy2000081000000_aid0001,PET_500m,aid0001,03/21/2000,1,22.8,22.8,"(22.8,22.8)",22.8,0,0,22.8,22.8,22.8,22.8,22.8
MOD16A2GF_061_PET_500m_doy2000089000000_aid0001,PET_500m,aid0001,03/29/2000,1,21,21,"(21.0,21.0)",21,0,0,21,21,21,21,21
MOD16A2GF_061_PET_500m_doy2000097000000_aid0001,PET_500m,aid0001,04/06/2000,1,27.5,27.5,"(27.5,27.5)",27.5,0,0,27.5,27.5,27.5,27.5,27.5
MOD16A2GF_061_PET_500m_doy2000105000000_aid0001,PET_500m,aid0001,04/14/2000,1,21.4,21.4,"(21.4,21.4)",21.4,0,0,21.4,21.4,21.4,21.4,21.4
MOD16A2GF_061_PET_500m_doy2000113000000_aid0001,PET_500m,aid0001,04/22/2000,1,24,24,"(24.0,24.0)",24,0,0,24,24,24,24,24
MOD16A2GF_061_PET_500m_doy2000121000000_aid0001,PET_500m,aid0001,04/30/2000,1,39.6,39.6,"(39.6,39.6)",39.6,0,0,39.6,39.6,39.6,39.6,39.6
MOD16A2GF_061_PET_500m_doy2000129000000_aid0001,PET_500m,aid0001,05/08/2000,1,36.8,36.8,"(36.8,36.8)",36.8,0,0,36.8,36.8,36.8,36.8,36.8
MOD16A2GF_061_PET_500m_doy2000137000000_aid0001,PET_500m,aid0001,05/16/2000,1,27.9,27.9,"(27.9,27.9)",27.9,0,0,27.9,27.9,27.9,27.9,27.9
MOD16A2GF_061_PET_500m_doy2000145000000_aid0001,PET_500m,aid0001,05/24/2000,1,46.6,46.6,"(46.6,46.6)",46.6,0,0,46.6,46.6,46.6,46.6,46.6
MOD16A2GF_061_PET_500m_doy2000153000000_aid0001,PET_500m,aid0001,06/01/2000,1,46.3,46.3,"(46.3,46.3)",46.3,0,0,46.3,46.3,46.3,46.3,46.3
MOD16A2GF_061_PET_500m_doy2000161000000_aid0001,PET_500m,aid0001,06/09/2000,1,45.8,45.8,"(45.8,45.8)",45.8,0,0,45.8,45.8,45.8,45.8,45.8
MOD16A2GF_061_PET_500m_doy2000169000000_aid0001,PET_500m,aid0001,06/17/2000,1,51,51,"(51.0,51.0)",51,0,0,51,51,51,51,51
MOD16A2GF_061_PET_500m_doy2000177000000_aid0001,PET_500m,aid0001,06/25/2000,1,52.7,52.7,"(52.7,52.7)",52.7,0,0,52.7,52.7,52.7,52.7,52.7
MOD16A2GF_061_PET_500m_doy2000185000000_aid0001,PET_500m,aid0001,07/03/2000,1,48.8,48.8,"(48.8,48.8)",48.8,0,0,48.8,48.8,48.8,48.8,48.8
MOD16A2GF_061_PET_500m_doy2000193000000_aid0001,PET_500m,aid0001,07/11/2000,1,50.5,50.5,"(50.5,50.5)",50.5,0,0,50.5,50.5,50.5,50.5,50.5
MOD16A2GF_061_PET_500m_doy2000201000000_aid0001,PET_500m,aid0001,07/19/2000,1,37.9,37.9,"(37.9,37.9)",37.9,0,0,37.9,37.9,37.9,37.9,37.9
MOD16A2GF_061_PET_500m_doy2000209000000_aid0001,PET_500m,aid0001,07/27/2000,1,30.7,30.7,"(30.7,30.7)",30.7,0,0,30.7,30.7,30.7,30.7,30.7
MOD16A2GF_061_PET_500m_doy2000217000000_aid0001,PET_500m,aid0001,08/04/2000,1,48,48,"(48.0,48.0)",48,0,0,48,48,48,48,48
MOD16A2GF_061_PET_500m_doy2000225000000_aid0001,PET_500m,aid0001,08/12/2000,1,35.9,35.9,"(35.9,35.9)",35.9,0,0,35.9,35.9,35.9,35.9,35.9
MOD16A2GF_061_PET_500m_doy2000233000000_aid0001,PET_500m,aid0001,08/20/2000,1,43,43,"(43.0,43.0)",43,0,0,43,43,43,43,43
MOD16A2GF_061_PET_500m_doy2000241000000_aid0001,PET_500m,aid0001,08/28/2000,1,39.4,39.4,"(39.4,39.4)",39.4,0,0,39.4,39.4,39.4,39.4,39.4
MOD16A2GF_061_PET_500m_doy2000249000000_aid0001,PET_500m,aid0001,09/05/2000,1,36.6,36.6,"(36.6,36.6)",36.6,0,0,36.6,36.6,36.6,36.6,36.6
MOD16A2GF_061_PET_500m_doy2000257000000_aid0001,PET_500m,aid0001,09/13/2000,1,34.7,34.7,"(34.7,34.7)",34.7,0,0,34.7,34.7,34.7,34.7,34.7
MOD16A2GF_061_PET_500m_doy2000265000000_aid0001,PET_500m,aid0001,09/21/2000,1,24.4,24.4,"(24.4,24.4)",24.4,0,0,24.4,24.4,24.4,24.4,24.4
MOD16A2GF_061_PET_500m_doy2000273000000_aid0001,PET_500m,aid0001,09/29/2000,1,22,22,"(22.0,22.0)",22,0,0,22,22,22,22,22
MOD16A2GF_061_PET_500m_doy2000281000000_aid0001,PET_500m,aid0001,10/07/2000,1,19.9,19.9,"(19.9,19.9)",19.9,0,0,19.9,19.9,19.9,19.9,19.9
MOD16A2GF_061_PET_500m_doy2000289000000_aid0001,PET_500m,aid0001,10/15/2000,1,16.9,16.9,"(16.9,16.9)",16.9,0,0,16.9,16.9,16.9,16.9,16.9
MOD16A2GF_061_PET_500m_doy2000297000000_aid0001,PET_500m,aid0001,10/23/2000,1,17.6,17.6,"(17.6,17.6)",17.6,0,0,17.6,17.6,17.6,17.6,17.6
MOD16A2GF_061_PET_500m_doy2000305000000_aid0001,PET_500m,aid0001,10/31/2000,1,15,15,"(15.0,15.0)",15,0,0,15,15,15,15,15
MOD16A2GF_061_PET_500m_doy2000313000000_aid0001,PET_500m,aid0001,11/08/2000,1,8.3,8.3,"(8.3,8.3)",8.3,0,0,8.3,8.3,8.3,8.3,8.3
MOD16A2GF_061_PET_500m_doy2000321000000_aid0001,PET_500m,aid0001,11/16/2000,1,11,11,"(11.0,11.0)",11,0,0,11,11,11,11,11
MOD16A2GF_061_PET_500m_doy2000329000000_aid0001,PET_500m,aid0001,11/24/2000,1,8.2,8.2,"(8.2,8.2)",8.2,0,0,8.2,8.2,8.2,8.2,8.2
MOD16A2GF_061_PET_500m_doy2000337000000_aid0001,PET_500m,aid0001,12/02/2000,1,9.5,9.5,"(9.5,9.5)",9.5,0,0,9.5,9.5,9.5,9.5,9.5
MOD16A2GF_061_PET_500m_doy2000345000000_aid0001,PET_500m,aid0001,12/10/2000,1,5.5,5.5,"(5.5,5.5)",5.5,0,0,5.5,5.5,5.5,5.5,5.5
MOD16A2GF_061_PET_500m_doy2000353000000_aid0001,PET_500m,aid0001,12/18/2000,1,6.2,6.2,"(6.2,6.2)",6.2,0,0,6.2,6.2,6.2,6.2,6.2
MOD16A2GF_061_PET_500m_doy2000361000000_aid0001,PET_500m,aid0001,12/26/2000,1,3.7,3.7,"(3.7,3.7)",3.7,0,0,3.7,3.7,3.7,3.7,3.7
MOD16A2GF_061_PET_500m_doy2001001000000_aid0001,PET_500m,aid0001,01/01/2001,1,4.6,4.6,"(4.6,4.6)",4.6,0,0,4.6,4.6,4.6,4.6,4.6
MOD16A2GF_061_PET_500m_doy2001009000000_aid0001,PET_500m,aid0001,01/09/2001,1,5,5,"(5.0,5.0)",5,0,0,5,5,5,5,5
MOD16A2GF_061_PET_500m_doy2001017000000_aid0001,PET_500m,aid0001,01/17/2001,1,4.6,4.6,"(4.6,4.6)",4.6,0,0,4.6,4.6,4.6,4.6,4.6
MOD16A2GF_061_PET_500m_doy2001025000000_aid0001,PET_500m,aid0001,01/25/2001,1,5,5,"(5.0,5.0)",5,0,0,5,5,5,5,5
MOD16A2GF_061_PET_500m_doy2001033000000_aid0001,PET_500m,aid0001,02/02/2001,1,5.7,5.7,"(5.7,5.7)",5.7,0,0,5.7,5.7,5.7,5.7,5.7
MOD16A2GF_061_PET_500m_doy2001041000000_aid0001,PET_500m,aid0001,02/10/2001,1,10.2,10.2,"(10.2,10.2)",10.2,0,0,10.2,10.2,10.2,10.2,10.2
MOD16A2GF_061_PET_500m_doy2001049000000_aid0001,PET_500m,aid0001,02/18/2001,1,11.4,11.4,"(11.4,11.4)",11.4,0,0,11.4,11.4,11.4,11.4,11.4
