File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD16A3GF_061_ET_QC_500m_doy2000001000000_aid0001,ET_QC_500m,aid0001,2000-01-01,1,20.0,20.0,"(20.0,20.0)",20.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0
MOD16A3GF_061_ET_QC_500m_doy2001001000000_aid0001,ET_QC_500m,aid0001,2001-01-01,1,32.0,32.0,"(32.0,32.0)",32.0,0.0,0.0,32.0,32.0,32.0,32.0,32.0
MOD16A3GF_061_ET_QC_500m_doy2002001000000_aid0001,ET_QC_500m,aid0001,2002-01-01,1,28.0,28.0,"(28.0,28.0)",28.0,0.0,0.0,28.0,28.0,28.0,28.0,28.0
MOD16A3GF_061_ET_QC_500m_doy2003001000000_aid0001,ET_QC_500m,aid0001,2003-01-01,1,40.0,40.0,"(40.0,40.0)",40.0,0.0,0.0,40.0,40.0,40.0,40.0,40.0
MOD16A3GF_061_ET_QC_500m_doy2004001000000_aid0001,ET_QC_500m,aid0001,2004-01-01,1,37.0,37.0,"(37.0,37.0)",37.0,0.0,0.0,37.0,37.0,37.0,37.0,37.0
MOD16A3GF_061_ET_QC_500m_doy2005001000000_aid0001,ET_QC_500m,aid0001,2005-01-01,1,41.0,41.0,"(41.0,41.0)",41.0,0.0,0.0,41.0,41.0,41.0,41.0,41.0
MOD16A3GF_061_ET_QC_500m_doy2006001000000_aid0001,ET_QC_500m,aid0001,2006-01-01,1,21.0,21.0,"(21.0,21.0)",21.0,0.0,0.0,21.0,21.0,21.0,21.0,21.0
MOD16A3GF_061_ET_QC_500m_doy2007001000000_aid0001,ET_QC_500m,aid0001,2007-01-01,1,37.0,37.0,"(37.0,37.0)",37.0,0.0,0.0,37.0,37.0,37.0,37.0,37.0
MOD16A3GF_061_ET_QC_500m_doy2008001000000_aid0001,ET_QC_500m,aid0001,2008-01-01,1,32.0,32.0,"(32.0,32.0)",32.0,0.0,0.0,32.0,32.0,32.0,32.0,32.0
MOD16A3GF_061_ET_QC_500m_doy2009001000000_aid0001,ET_QC_500m,aid0001,2009-01-01,1,27.0,27.0,"(27.0,27.0)",27.0,0.0,0.0,27.0,27.0,27.0,27.0,27.0
MOD16A3GF_061_ET_QC_500m_doy2010001000000_aid0001,ET_QC_500m,aid0001,2010-01-01,1,36.0,36.0,"(36.0,36.0)",36.0,0.0,0.0,36.0,36.0,36.0,36.0,36.0
MOD16A3GF_061_ET_QC_500m_doy2011001000000_aid0001,ET_QC_500m,aid0001,2011-01-01,1,27.0,27.0,"(27.0,27.0)",27.0,0.0,0.0,27.0,27.0,27.0,27.0,27.0
MOD16A3GF_061_ET_QC_500m_doy2012001000000_aid0001,ET_QC_500m,aid0001,2012-01-01,1,30.0,30.0,"(30.0,30.0)",30.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0
MOD16A3GF_061_ET_QC_500m_doy2013001000000_aid0001,ET_QC_500m,aid0001,2013-01-01,1,38.0,38.0,"(38.0,38.0)",38.0,0.0,0.0,38.0,38.0,38.0,38.0,38.0
MOD16A3GF_061_ET_QC_500m_doy2014001000000_aid0001,ET_QC_500m,aid0001,2014-01-01,1,26.0,26.0,"(26.0,26.0)",26.0,0.0,0.0,26.0,26.0,26.0,26.0,26.0
MOD16A3GF_061_ET_QC_500m_doy2015001000000_aid0001,ET_QC_500m,aid0001,2015-01-01,1,39.0,39.0,"(39.0,39.0)",39.0,0.0,0.0,39.0,39.0,39.0,39.0,39.0
MOD16A3GF_061_ET_QC_500m_doy2016001000000_aid0001,ET_QC_500m,aid0001,2016-01-01,1,16.0,16.0,"(16.0,16.0)",16.0,0.0,0.0,16.0,16.0,16.0,16.0,16.0
MOD16A3GF_061_ET_QC_500m_doy2017001000000_aid0001,ET_QC_500m,aid0001,2017-01-01,1,28.0,28.0,"(28.0,28.0)",28.0,0.0,0.0,28.0,28.0,28.0,28.0,28.0
MOD16A3GF_061_ET_QC_500m_doy2018001000000_aid0001,ET_QC_500m,aid0001,2018-01-01,1,26.0,26.0,"(26.0,26.0)",26.0,0.0,0.0,26.0,26.0,26.0,26.0,26.0
MOD16A3GF_061_ET_QC_500m_doy2019001000000_aid0001,ET_QC_500m,aid0001,2019-01-01,1,32.0,32.0,"(32.0,32.0)",32.0,0.0,0.0,32.0,32.0,32.0,32.0,32.0
MOD16A3GF_061_ET_QC_500m_doy2020001000000_aid0001,ET_QC_500m,aid0001,2020-01-01,1,34.0,34.0,"(34.0,34.0)",34.0,0.0,0.0,34.0,34.0,34.0,34.0,34.0
MOD16A3GF_061_ET_QC_500m_doy2021001000000_aid0001,ET_QC_500m,aid0001,2021-01-01,1,22.0,22.0,"(22.0,22.0)",22.0,0.0,0.0,22.0,22.0,22.0,22.0,22.0
MOD16A3GF_061_ET_QC_500m_doy2022001000000_aid0001,ET_QC_500m,aid0001,2022-01-01,1,31.0,31.0,"(31.0,31.0)",31.0,0.0,0.0,31.0,31.0,31.0,31.0,31.0
MOD16A3GF_061_ET_QC_500m_doy2023001000000_aid0001,ET_QC_500m,aid0001,2023-01-01,1,21.0,21.0,"(21.0,21.0)",21.0,0.0,0.0,21.0,21.0,21.0,21.0,21.0
MOD16A3GF_061_ET_QC_500m_doy2024001000000_aid0001,ET_QC_500m,aid0001,2024-01-01,1,32.0,32.0,"(32.0,32.0)",32.0,0.0,0.0,32.0,32.0,32.0,32.0,32.0
MOD16A3GF_061_ET_QC_500m_doy2025001000000_aid0001,ET_QC_500m,aid0001,2025-01-01,1,27.0,27.0,"(27.0,27.0)",27.0,0.0,0.0,27.0,27.0,27.0,27.0,27.0
MOD16A3GF_061_ET_QC_500m_doy2000001000000_aid0002,ET_QC_500m,aid0002,2000-01-01,1,20.0,20.0,"(20.0,20.0)",20.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0
MOD16A3GF_061_ET_QC_500m_doy2001001000000_aid0002,ET_QC_500m,aid0002,2001-01-01,1,34.0,34.0,"(34.0,34.0)",34.0,0.0,0.0,34.0,34.0,34.0,34.0,34.0
MOD16A3GF_061_ET_QC_500m_doy2002001000000_aid0002,ET_QC_500m,aid0002,2002-01-01,1,31.0,31.0,"(31.0,31.0)",31.0,0.0,0.0,31.0,31.0,31.0,31.0,31.0
MOD16A3GF_061_ET_QC_500m_doy2003001000000_aid0002,ET_QC_500m,aid0002,2003-01-01,1,34.0,34.0,"(34.0,34.0)",34.0,0.0,0.0,34.0,34.0,34.0,34.0,34.0
MOD16A3GF_061_ET_QC_500m_doy2004001000000_aid0002,ET_QC_500m,aid0002,2004-01-01,1,30.0,30.0,"(30.0,30.0)",30.0,0.0,0.0,30.0,30.0,30.0,30.0,30.0
MOD16A3GF_061_ET_QC_500m_doy2005001000000_aid0002,ET_QC_500m,aid0002,2005-01-01,1,38.0,38.0,"(38.0,38.0)",38.0,0.0,0.0,38.0,38.0,38.0,38.0,38.0
