File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD16A3GF_061_PET_500m_doy2000001000000_aid0001,PET_500m,aid0001,2000-01-01,1,1130.6,1130.6,"(1130.6,1130.6)",1130.6,0.0,0.0,1130.6,1130.6,1130.6,1130.6,1130.6
MOD16A3GF_061_PET_500m_doy2001001000000_aid0001,PET_500m,aid0001,2001-01-01,1,1200.6,1200.6,"(1200.6,1200.6)",1200.6,0.0,0.0,1200.6,1200.6,1200.6,1200.6,1200.6
MOD16A3GF_061_PET_500m_doy2002001000000_aid0001,PET_500m,aid0001,2002-01-01,1,1168.9,1168.9,"(1168.9,1168.9)",1168.9,0.0,0.0,1168.9,1168.9,1168.9,1168.9,1168.9
MOD16A3GF_061_PET_500m_doy2003001000000_aid0001,PET_500m,aid0001,2003-01-01,1,1002.3,1002.3,"(1002.3,1002.3)",1002.3,0.0,0.0,1002.3,1002.3,1002.3,1002.3,1002.3
MOD16A3GF_061_PET_500m_doy2004001000000_aid0001,PET_500m,aid0001,2004-01-01,1,1100.9,1100.9,"(1100.9,1100.9)",1100.9,0.0,0.0,1100.9,1100.9,1100.9,1100.9,1100.9
MOD16A3GF_061_PET_500m_doy2005001000000_aid0001,PET_500m,aid0001,2005-01-01,1,1118.6,1118.6,"(1118.6,1118.6)",1118.6,0.0,0.0,1118.6,1118.6,1118.6,1118.6,1118.6
MOD16A3GF_061_PET_500m_doy2006001000000_aid0001,PET_500m,aid0001,2006-01-01,1,1083.1,1083.1,"(1083.1,1083.1)",1083.1,0.0,0.0,1083.1,1083.1,1083.1,1083.1,1083.1
MOD16A3GF_061_PET_500m_doy2007001000000_aid0001,PET_500m,aid0001,2007-01-01,1,1144.6,1144.6,"(1144.6,1144.6)",1144.6,0.0,0.0,1144.6,1144.6,1144.6,1144.6,1144.6
MOD16A3GF_061_PET_500m_doy2008001000000_aid0001,PET_500m,aid0001,2008-01-01,1,1129.1,1129.1,"(1129.1,1129.1)",1129.1,0.0,0.0,1129.1,1129.1,1129.1,1129.1,1129.1
MOD16A3GF_061_PET_500m_doy2009001000000_aid0001,PET_500m,aid0001,2009-01-01,1,1094.7,1094.7,"(1094.7,1094.7)",1094.7,0.0,0.0,1094.7,1094.7,1094.7,1094.7,1094.7
MOD16A3GF_061_PET_500m_doy2010001000000_aid0001,PET_500m,aid0001,2010-01-01,1,1184.5,1184.5,"(1184.5,1184.5)",1184.5,0.0,0.0,1184.5,1184.5,1184.5,1184.5,1184.5
MOD16A3GF_061_PET_500m_doy2011001000000_aid0001,PET_500m,aid0001,2011-01-01,1,1106.2,1106.2,"(1106.2,1106.2)",1106.2,0.0,0.0,1106.2,1106.2,1106.2,1106.2,1106.2
MOD16A3GF_061_PET_500m_doy2012001000000_aid0001,PET_500m,aid0001,2012-01-01,1,1173.2,1173.2,"(1173.2,1173.2)",1173.2,0.0,0.0,1173.2,1173.2,1173.2,1173.2,1173.2
MOD16A3GF_061_PET_500m_doy2013001000000_aid0001,PET_500m,aid0001,2013-01-01,1,1140.4,1140.4,"(1140.4,1140.4)",1140.4,0.0,0.0,1140.4,1140.4,1140.4,1140.4,1140.4
MOD16A3GF_061_PET_500m_doy2014001000000_aid0001,PET_500m,aid0001,2014-01-01,1,1113.3,1113.3,"(1113.3,1113.3)",1113.3,0.0,0.0,1113.3,1113.3,1113.3,1113.3,1113.3
MOD16A3GF_061_PET_500m_doy2015001000000_aid0001,PET_500m,aid0001,2015-01-01,1,1148.7,1148.7,"(1148.7,1148.7)",1148.7,0.0,0.0,1148.7,1148.7,1148.7,1148.7,1148.7
MOD16A3GF_061_PET_500m_doy2016001000000_aid0001,PET_500m,aid0001,2016-01-01,1,1175.0,1175.0,"(1175.0,1175.0)",1175.0,0.0,0.0,1175.0,1175.0,1175.0,1175.0,1175.0
MOD16A3GF_061_PET_500m_doy2017001000000_aid0001,PET_500m,aid0001,2017-01-01,1,1109.2,1109.2,"(1109.2,1109.2)",1109.2,0.0,0.0,1109.2,1109.2,1109.2,1109.2,1109.2
MOD16A3GF_061_PET_500m_doy2018001000000_aid0001,PET_500m,aid0001,2018-01-01,1,1094.5,1094.5,"(1094.5,1094.5)",1094.5,0.0,0.0,1094.5,1094.5,1094.5,1094.5,1094.5
