PRISM Time Series Data
Location:  Lat: 41.8283   Lon: -72.2371   Elev: 158m
"Climate variables: ppt,tmean"
Spatial resolution: 4km
Period: 2015-01-01 - 2025-12-31
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2026-Feb-12
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmean (degrees C)
2015-01-01,0.00,-5.6
2015-01-02,0.00,-2.9
2015-01-03,0.00,-1.7
2015-01-04,10.63,-2.5
2015-01-05,3.87,4.5
2015-01-06,0.00,-4.8
2015-01-07,0.56,-10.4
2015-01-08,0.00,-13.1
2015-01-09,0.00,-10.0
2015-01-10,2.27,-8.4
2015-01-11,0.00,-10.9
2015-01-12,0.00,-6.6
2015-01-13,9.12,-3.5
2015-01-14,0.00,-10.4
2015-01-15,0.00,-7.9
2015-01-16,0.00,-5.5
2015-01-17,0.00,-6.4
2015-01-18,0.00,-8.2
2015-01-19,27.69,2.4
2015-01-20,0.00,0.2
2015-01-21,0.00,-4.3
2015-01-22,0.00,-3.8
2015-01-23,0.00,-2.7
2015-01-24,8.16,-2.8
2015-01-25,7.44,-1.1
2015-01-26,0.00,-4.8
2015-01-27,13.81,-9.1
2015-01-28,6.11,-9.7
2015-01-29,0.00,-11.6
2015-01-30,0.00,-9.4
2015-01-31,0.81,-6.4
2015-02-01,0.00,-12.5
2015-02-02,10.61,-8.0
2015-02-03,10.97,-11.8
2015-02-04,0.00,-11.3
2015-02-05,0.00,-4.3
2015-02-06,3.55,-9.7
2015-02-07,0.00,-12.2
2015-02-08,4.18,-5.8
2015-02-09,6.66,-6.0
2015-02-10,4.50,-8.0
2015-02-11,0.00,-4.2
2015-02-12,0.00,-8.4
2015-02-13,0.00,-9.4
2015-02-14,0.00,-15.2
2015-02-15,4.03,-11.8
2015-02-16,1.56,-12.9
2015-02-17,0.00,-15.3
2015-02-18,2.27,-13.4
2015-02-19,0.12,-8.5
2015-02-20,0.00,-10.2
2015-02-21,0.00,-14.6
2015-02-22,13.90,-8.9
2015-02-23,0.00,-2.7
2015-02-24,0.00,-15.3
2015-02-25,0.00,-14.1
2015-02-26,0.00,-5.5
2015-02-27,0.00,-9.3
2015-02-28,0.00,-10.2
2015-03-01,0.00,-8.9
2015-03-02,10.49,-7.6
2015-03-03,0.00,-5.9
2015-03-04,16.44,-4.7
2015-03-05,2.02,0.7
2015-03-06,0.51,-9.1
2015-03-07,0.00,-9.2
2015-03-08,0.00,-4.8
2015-03-09,0.00,-0.4
2015-03-10,0.00,1.6
2015-03-11,4.40,4.0
2015-03-12,0.00,8.3
2015-03-13,0.00,0.2
2015-03-14,0.98,-0.5
2015-03-15,17.48,2.8
2015-03-16,0.00,0.6
2015-03-17,2.22,3.4
2015-03-18,0.28,2.6
2015-03-19,0.00,-4.8
2015-03-20,0.00,-4.2
2015-03-21,2.08,-4.1
2015-03-22,0.53,1.1
2015-03-23,0.00,-5.3
2015-03-24,0.00,-5.6
2015-03-25,0.00,-2.5
2015-03-26,1.68,2.5
2015-03-27,17.56,7.9
2015-03-28,0.52,2.9
2015-03-29,1.93,-2.6
2015-03-30,0.00,-0.4
2015-03-31,0.00,2.7
2015-04-01,0.00,2.8
2015-04-02,0.00,2.4
2015-04-03,0.07,6.1
2015-04-04,6.37,8.4
2015-04-05,0.00,3.6
2015-04-06,1.43,2.6
2015-04-07,0.00,6.7
2015-04-08,6.48,3.7
2015-04-09,11.07,3.4
2015-04-10,7.61,2.6
2015-04-11,0.14,6.9
2015-04-12,0.00,6.7
2015-04-13,0.00,11.6
2015-04-14,0.88,13.9
2015-04-15,0.03,10.4
2015-04-16,0.00,11.3
2015-04-17,3.27,12.4
2015-04-18,0.53,11.3
2015-04-19,0.00,14.5
2015-04-20,0.74,10.2
2015-04-21,58.53,8.5
2015-04-22,0.45,9.2
2015-04-23,1.79,11.1
2015-04-24,0.00,4.9
2015-04-25,0.00,2.8
2015-04-26,0.00,7.2
2015-04-27,0.00,9.2
2015-04-28,0.00,10.0
2015-04-29,0.00,9.6
2015-04-30,0.00,11.1
2015-05-01,0.00,10.7
2015-05-02,0.00,9.1
2015-05-03,0.00,12.3
2015-05-04,0.00,13.6
2015-05-05,0.00,19.9
2015-05-06,0.00,17.0
2015-05-07,0.00,15.1
2015-05-08,0.00,17.6
2015-05-09,0.00,18.4
2015-05-10,0.00,16.2
2015-05-11,0.00,22.6
2015-05-12,0.00,22.4
2015-05-13,0.68,20.2
2015-05-14,0.00,11.4
2015-05-15,0.00,12.4
2015-05-16,0.00,15.4
2015-05-17,0.00,15.5
