Time,Q (m3/s),Q (ft3/s)
01/01/2015,0.75605856,26.7
01/02/2015,0.7220784,25.5
01/03/2015,0.6796032,24
01/04/2015,1.03922656,36.7
01/05/2015,1.32239456,46.7
01/06/2015,0.98259296,34.7
01/07/2015,0.82968224,29.3
01/08/2015,0.74473184,26.3
01/09/2015,0.68809824,24.3
01/10/2015,0.65694976,23.2
01/11/2015,0.63995968,22.6
01/12/2015,1.72449312,60.9
01/13/2015,1.29974112,45.9
01/14/2015,0.9627712,34
01/15/2015,0.85233568,30.1
01/16/2015,0.7503952,26.5
01/17/2015,0.64845472,22.9
01/18/2015,1.66785952,58.9
01/19/2015,5.0687072,179
01/20/2015,2.30498752,81.4
01/21/2015,1.24027584,43.8
01/22/2015,1.01374144,35.8
01/23/2015,0.9061376,32
01/24/2015,0.90896928,32.1
01/25/2015,0.9061376,32
01/26/2015,0.81269216,28.7
01/27/2015,0.73906848,26.1
01/28/2015,0.67677152,23.9
01/29/2015,0.62580128,22.1
01/30/2015,0.58615776,20.7
01/31/2015,0.5521776,19.5
02/01/2015,0.52102912,18.4
02/02/2015,0.48704896,17.2
02/03/2015,0.45873216,16.2
02/04/2015,0.4389104,15.5
02/05/2015,0.41908864,14.8
02/06/2015,0.40493024,14.3
02/07/2015,0.39360352,13.9
02/08/2015,0.38510848,13.6
02/09/2015,0.37661344,13.3
02/10/2015,0.37095008,13.1
02/11/2015,0.3681184,13
02/12/2015,0.36245504,12.8
02/13/2015,0.35679168,12.6
02/14/2015,0.35396,12.5
02/15/2015,0.35396,12.5
02/16/2015,0.35112832,12.4
02/17/2015,0.34829664,12.3
02/18/2015,0.34546496,12.2
02/19/2015,0.34546496,12.2
02/20/2015,0.34263328,12.1
02/21/2015,0.3398016,12
02/22/2015,0.84384064,29.8
02/23/2015,0.76172192,26.9
02/24/2015,0.69942496,24.7
02/25/2015,0.6512864,23
02/26/2015,0.61447456,21.7
02/27/2015,0.58615776,20.7
02/28/2015,0.56916768,20.1
03/01/2015,0.55500928,19.6
03/02/2015,0.62013792,21.9
03/03/2015,0.59182112,20.9
03/04/2015,1.55459232,54.9
03/05/2015,1.5857408,56
03/06/2015,1.07320672,37.9
03/07/2015,0.8353456,29.5
03/08/2015,0.8211872,29
03/09/2015,0.86083072,30.4
03/10/2015,1.0052464,35.5
03/11/2015,1.80378016,63.7
03/12/2015,1.88023552,66.4
03/13/2015,1.39318656,49.2
03/14/2015,1.86324544,65.8
03/15/2015,2.760888,97.5
03/16/2015,2.02181952,71.4
03/17/2015,2.09827488,74.1
03/18/2015,2.0954432,74
03/19/2015,1.73298816,61.2
03/20/2015,1.4441568,51
03/21/2015,1.37619648,48.6
03/22/2015,1.34787968,47.6
03/23/2015,1.2176224,43
03/24/2015,1.14399872,40.4
03/25/2015,1.1893056,42
03/26/2015,2.01898784,71.3
03/27/2015,4.0776192,144
03/28/2015,3.0865312,109
03/29/2015,2.37011616,83.7
03/30/2015,2.1520768,76
03/31/2015,2.15774016,76.2
04/01/2015,2.33896768,82.6
04/02/2015,2.58249216,91.2
04/03/2015,3.6245504,128
04/04/2015,5.3235584,188
04/05/2015,4.0776192,144
04/06/2015,3.1714816,112
04/07/2015,2.8599968,101
04/08/2015,2.78637312,98.4
04/09/2015,3.5396,125
04/10/2015,3.3413824,118
04/11/2015,2.83168,100
04/12/2015,2.3078192,81.5
04/13/2015,1.98500768,70.1
04/14/2015,1.82926528,64.6
04/15/2015,1.6565328,58.5
04/16/2015,1.486632,52.5
04/17/2015,1.56025568,55.1
04/18/2015,1.50362208,53.1
04/19/2015,1.34221632,47.4
04/20/2015,2.3219776,82
04/21/2015,5.0403904,178
04/22/2015,2.8883136,102
04/23/2015,2.13508672,75.4
04/24/2015,1.78679008,63.1
04/25/2015,1.60839424,56.8
04/26/2015,1.48946368,52.6
04/27/2015,1.39318656,49.2
04/28/2015,1.30540448,46.1
04/29/2015,1.2176224,43
04/30/2015,1.17231552,41.4
05/01/2015,1.1185136,39.5
05/02/2015,1.05338496,37.2
05/03/2015,0.99675136,35.2
05/04/2015,0.93162272,32.9
05/05/2015,0.88065248,31.1
05/06/2015,0.84384064,29.8
05/07/2015,0.79003872,27.9
05/08/2015,0.72774176,25.7
05/09/2015,0.69092992,24.4
05/10/2015,0.65694976,23.2
05/11/2015,0.5946528,21
05/12/2015,0.55784096,19.7
05/13/2015,0.49837568,17.6
05/14/2015,0.45023712,15.9
05/15/2015,0.42192032,14.9
05/16/2015,0.41342528,14.6
05/17/2015,0.40209856,14.2
05/18/2015,0.36528672,12.9
05/19/2015,0.69659328,24.6
05/20/2015,0.67110816,23.7
05/21/2015,0.4672272,16.5
05/22/2015,0.3964352,14
05/23/2015,0.3398016,12
05/24/2015,0.31714816,11.2
05/25/2015,0.28883136,10.2
05/26/2015,0.271274944,9.58
05/27/2015,0.28883136,10.2
05/28/2015,0.230498752,8.14
05/29/2015,0.215774016,7.62
05/30/2015,0.197368096,6.97
05/31/2015,0.44174208,15.6
06/01/2015,2.12092832,74.9
06/02/2015,3.1714816,112
06/03/2015,1.73298816,61.2
06/04/2015,1.03639488,36.6
06/05/2015,0.76738528,27.1
06/06/2015,0.5804944,20.5
06/07/2015,0.44457376,15.7
06/08/2015,0.37661344,13.3
06/09/2015,0.36528672,12.9
06/10/2015,0.35396,12.5
06/11/2015,0.30015808,10.6
06/12/2015,0.264478912,9.34
06/13/2015,0.23644528,8.35
06/14/2015,0.202181952,7.14
06/15/2015,1.52627552,53.9
06/16/2015,1.3308896,47
06/17/2015,0.85233568,30.1
06/18/2015,0.5521776,19.5
06/19/2015,0.41342528,14.6
06/20/2015,0.33130656,11.7
06/21/2015,3.0582144,108
06/22/2015,1.94253248,68.6
06/23/2015,1.09869184,38.8
06/24/2015,0.90896928,32.1
06/25/2015,0.65694976,23.2
06/26/2015,0.5380192,19
06/27/2015,0.4530688,16
06/28/2015,1.10718688,39.1
06/29/2015,0.9486128,33.5
06/30/2015,0.7362368,26
07/01/2015,0.86649408,30.6
07/02/2015,0.8070288,28.5
07/03/2015,0.57766272,20.4
07/04/2015,0.44457376,15.7
07/05/2015,0.3964352,14
07/06/2015,0.3398016,12
07/07/2015,0.31431648,11.1
